Assignee_Name,NUM
"24M Technologies, Inc.",18
3DOM INC,4
3M INNOVATIVE PROPERTIES COMPANY,20
3M Innovative Properties Company,119
"A123 Systems, LLC",3
A123 Systems LLC,8
"A123 Systems, Inc.",81
Aalborg Universitet,1
ABSL Power Solutions Ltd,2
Acal Energy Limited,5
Accentus PLC,2
Accentus plc,2
ACEP Inc.,62
"ACEP, Inc.",30
ACEP Inc,5
Acep Inc.,6
ACREO SWEDISH ICT AB,3
Acumentrics Corporation,35
"ADA Technologies, Inc.",2
"ADA TECHNOLOGIES, INC.",1
"Adavolt, Inc.",2
Advanced Energy Technology Inc.,2
"Advanced Modular Power Systems, Inc.",6
"Advanced Polymer Research, Inc.",3
"Adven Polymers, Inc.",1
Advent Technologies,6
Advent Technologies SA,11
AEA Technology plc,2
Aea Technology PLC,2
AEG Energietechnik GmbH,8
AF Sammer Corporation,2
AGC Inc.,11
"AGC SEIMI CHEMICAL CO., LTD.",6
"Seimi Chemical Co., Ltd.",12
Agence Nationale de Valorisation de la Recherche (ANVAR),2
AGENCIA ESTALAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,3
"Agency for Science, Technology and Research",4
Agency of Industrial Science & Technology,6
"Agency of Industrial Science & Technology, Ministry of International",5
Agency of Industrial Science and Technology,4
"Air Products and Chemicals, Inc.",6
Airbus Defence and Space GmbH,10
AIRBUS DEFENCE AND SPACE GMBH,1
Airbus Operations GmbH,14
"Aisin AW Co., Ltd.",5
Aisin Seiki Kabushiki Kaisha,34
"Aisin Takaoka Co., Ltd.",12
UNIVERSITE D'AIX MARSEILLE,10
Akita University,1
Albemarle Germany GmbH,7
Alberta Innovates—Technology Futures,4
Alcatel,18
Alcatel Alsthom Compagnie Generale d'Electricite,2
Alcatel-Lucent USA Inc.,1
"Alliance for Sustainable Energy, LLC",25
"Alliance For Sustainable Energy, LLC",3
Alliant Techsystems Inc.,2
Allied Signal Inc.,2
AlliedSignal Inc.,31
Allied-Signal Inc.,19
"AlliedSignal, Inc.",4
"Allied-Signal, Inc.",2
Alstom UK Ltd.,3
Aluminum Company of America,1
"Amazon Technologies, Inc.",5
American Lithium Energy Corporation,5
AMITA TECHNOLOGIES INC LTD.,4
